Date,Price,Open,High,Low,Vol.,Change %
10/11/2020,344.75,343.50,348.25,334.25,316.49K,-0.65%
10/04/2020,347.00,312.75,351.25,312.75,213.42K,10.25%
09/27/2020,314.75,326.25,338.25,308.25,273.24K,-3.23%
09/20/2020,325.25,338.50,340.00,317.25,367.72K,-4.27%
09/13/2020,339.75,322.75,344.75,317.00,467.09K,4.86%
09/06/2020,324.00,333.25,333.25,306.00,220.93K,-3.43%
08/30/2020,335.50,366.75,371.75,333.00,223.70K,-8.21%
08/23/2020,365.50,363.00,380.00,359.50,293.78K,1.53%
08/16/2020,360.00,376.00,382.25,357.50,374.97K,-3.87%
08/09/2020,374.50,368.00,380.25,366.75,184.00K,1.49%
08/02/2020,369.00,365.50,389.25,360.50,183.90K,1.10%
07/26/2020,365.00,376.25,378.75,349.00,202.52K,-2.60%
07/19/2020,374.75,365.75,388.50,361.50,264.84K,1.97%
07/12/2020,367.50,371.50,372.75,360.25,317.39K,0.82%
07/05/2020,364.50,365.50,373.50,357.00,141.04K,0.14%
06/28/2020,364.00,338.75,367.25,336.25,173.99K,7.37%
06/21/2020,339.00,358.50,370.50,336.00,254.80K,-7.00%
06/14/2020,364.50,328.75,365.75,319.75,388.67K,10.96%
06/07/2020,328.50,336.00,345.75,312.25,175.95K,-0.61%
05/31/2020,330.50,297.75,335.75,291.75,209.77K,16.48%
05/24/2020,283.75,289.50,310.25,274.75,213.86K,-1.39%
05/17/2020,287.75,272.50,307.50,272.50,351.94K,6.67%
05/10/2020,269.75,249.00,277.50,237.25,318.11K,11.35%
05/03/2020,242.25,217.50,259.00,210.00,151.63K,10.11%
04/26/2020,220.00,202.75,241.75,181.00,191.02K,7.32%
04/19/2020,205.00,275.75,278.75,188.25,358.27K,-25.59%
04/12/2020,275.50,304.00,305.25,260.00,462.89K,-8.93%
04/05/2020,302.50,305.00,321.50,290.00,174.57K,1.85%
03/29/2020,297.00,301.00,383.00,266.25,279.84K,-1.08%
03/22/2020,300.25,291.75,314.75,280.00,228.66K,-0.25%
03/15/2020,301.00,351.25,351.25,263.00,434.11K,-10.55%
03/08/2020,336.50,396.00,396.00,315.75,281.61K,-18.57%
03/01/2020,413.25,437.00,475.00,412.50,345.96K,-6.29%
02/23/2020,441.00,505.00,507.50,435.50,436.92K,-13.27%
02/16/2020,508.50,517.50,523.75,501.50,447.85K,-1.17%
02/09/2020,514.50,500.00,518.50,489.50,300.19K,1.83%
02/02/2020,505.25,495.25,513.75,480.00,227.76K,0.85%
01/26/2020,501.00,532.00,532.50,495.50,343.55K,-6.53%
01/19/2020,536.00,575.25,580.00,532.75,425.55K,-5.76%
01/12/2020,568.75,589.00,593.50,566.25,520.81K,-4.13%
01/05/2020,593.25,634.75,643.00,588.50,221.25K,-5.16%
12/29/2019,625.50,625.00,642.00,612.50,175.78K,-0.08%
12/22/2019,626.00,611.50,627.75,609.00,114.82K,2.04%
12/15/2019,613.50,599.00,618.00,598.00,359.64K,3.07%
12/08/2019,595.25,589.25,604.00,577.25,228.15K,1.36%
12/01/2019,587.25,568.50,596.00,565.50,240.36K,2.67%
11/24/2019,572.00,584.25,596.00,566.75,230.37K,-1.68%
11/17/2019,581.75,590.00,591.00,557.00,408.57K,-0.94%
11/10/2019,587.25,582.50,592.00,563.00,345.76K,1.86%
11/03/2019,576.50,586.00,596.50,566.50,218.89K,-0.26%
10/27/2019,578.00,598.50,600.75,563.75,270.68K,-3.30%
10/20/2019,597.75,588.75,602.50,578.25,380.01K,1.44%
10/13/2019,589.25,595.00,595.00,572.75,392.81K,-1.09%
10/06/2019,595.75,578.50,597.50,573.50,280.43K,2.76%
09/29/2019,579.75,600.75,600.75,557.50,255.82K,-3.74%
09/22/2019,602.25,621.00,621.00,588.25,297.55K,-2.43%
09/15/2019,617.25,615.00,673.50,602.50,659.47K,7.53%
09/08/2019,574.00,585.00,603.25,567.50,498.98K,-0.56%
09/01/2019,577.25,564.75,589.75,548.25,459.11K,2.67%
08/25/2019,562.25,554.50,576.00,553.25,406.64K,0.67%
08/18/2019,558.50,559.50,579.00,554.25,375.06K,-0.53%
08/11/2019,561.50,553.25,583.50,552.50,308.85K,0.90%
08/04/2019,556.50,581.00,581.00,534.00,494.00K,-3.97%
07/28/2019,579.50,586.25,606.75,564.00,344.59K,-1.11%
07/21/2019,586.00,583.50,599.25,581.00,260.63K,1.43%
07/14/2019,577.75,608.00,610.50,569.25,289.14K,-4.94%
07/07/2019,607.75,580.75,616.25,576.50,484.58K,4.87%
06/30/2019,579.50,596.50,607.75,570.50,308.12K,-3.01%
06/23/2019,597.50,593.00,605.25,580.75,279.41K,1.44%
06/16/2019,589.00,562.50,595.00,549.25,298.37K,4.11%
06/09/2019,565.75,562.25,568.25,544.75,402.28K,1.03%
06/02/2019,560.00,565.75,573.00,536.75,511.41K,-3.03%
05/26/2019,577.50,611.50,625.25,564.00,336.54K,-4.39%
05/19/2019,604.00,649.00,655.25,600.75,596.70K,-7.36%
05/12/2019,652.00,633.00,661.00,624.25,520.62K,2.48%
05/05/2019,636.25,636.25,643.50,623.50,545.07K,-1.13%
04/28/2019,643.50,629.00,644.25,622.00,729.16K,3.08%
04/21/2019,624.25,633.75,652.25,620.75,378.59K,-1.92%
04/14/2019,636.50,634.25,642.50,628.50,270.06K,0.55%
04/07/2019,633.00,625.00,637.00,620.50,197.40K,2.43%
03/31/2019,618.00,605.00,624.50,604.75,190.24K,2.11%
03/24/2019,605.25,602.50,613.25,594.75,222.19K,1.34%
03/17/2019,597.25,605.00,620.25,595.25,358.13K,-1.57%
03/10/2019,606.75,618.25,622.75,602.00,276.80K,-0.57%
03/03/2019,610.25,615.50,629.00,603.50,233.26K,-0.69%
02/24/2019,614.50,621.25,633.25,604.25,249.47K,-1.21%
02/17/2019,622.00,620.00,626.25,606.00,325.22K,1.06%
02/10/2019,615.50,582.50,607.25,578.75,232.00K,5.67%
02/03/2019,582.50,583.50,590.75,570.00,158.85K,0.73%
01/27/2019,578.25,568.75,587.75,552.50,236.15K,1.80%
01/20/2019,568.00,572.75,579.00,561.00,188.40K,-1.09%
01/13/2019,574.25,567.75,577.75,554.75,340.63K,1.01%
01/06/2019,568.50,535.50,579.50,535.50,198.88K,7.57%
12/30/2018,528.50,494.00,542.50,491.25,152.40K,7.15%
12/23/2018,493.25,511.50,519.75,483.25,139.83K,-4.27%
12/16/2018,515.25,555.75,561.25,505.50,328.47K,-7.37%
12/09/2018,556.25,578.25,579.50,549.75,176.18K,-5.28%
12/02/2018,587.25,564.00,600.00,554.50,190.10K,6.63%
11/25/2018,550.75,574.25,588.25,543.75,277.10K,-4.51%
11/18/2018,576.75,634.50,640.25,573.00,401.95K,-8.92%
11/11/2018,633.25,687.00,713.75,625.25,449.94K,-3.54%
11/04/2018,656.50,662.25,688.50,647.00,832.63K,-1.68%
10/28/2018,667.75,708.00,710.25,662.50,661.82K,-5.18%
10/21/2018,704.25,711.00,715.25,684.50,638.02K,-0.81%
10/14/2018,710.00,717.00,720.75,700.25,479.91K,-0.53%
10/07/2018,713.75,738.25,749.00,702.00,652.42K,-3.77%
09/30/2018,741.75,725.00,753.50,722.75,552.42K,2.42%
09/23/2018,724.25,688.75,727.75,685.25,381.89K,5.23%
09/16/2018,688.25,680.00,697.25,674.25,444.25K,1.32%
09/09/2018,679.25,683.75,698.25,673.50,626.44K,0.30%
09/02/2018,677.25,692.75,710.75,674.50,512.58K,-2.13%
